row1:
  group1: 8241160, 23.05.01, 25, , , , , СТС, , 
  group27: , , , , , , , ,  , 

row4:
  group1: История России, УЛК-4, 211, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 211, 
  group2: Аналитическая геометрия (11.11), УЛК-4, 223А, , пр., Матем., ассис, Филимонов С.В., УЛК-4 223А, 
  group3: , , , , , , , ,  , 
  group4: , , , , , , , ,  , 
  group5: , , , , , , , ,  , 
  group6: Аналитическая геометрия, УЛК-4, 217, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group7: , , , , , , , ,  , 
  group8: Аналитическая геометрия, УЛК-4, 221, , пр., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group9: , , , , , , , ,  , 
  group10: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group11: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group12: , , , , , , , ,  , 
  group13: Химия, УЛК-1, 143, 125, лаб., ХиЭ, доцент, Мифтахов М.Н. Смирнова Н.Н., УЛК-1 143, УЛК-1 125
  group14: , , , , , , , ,  , 
  group15: Математический анализ, УЛК-3, 305, , пр., Матем., доцент, Антропова Г.Р., УЛК-3 305, 
  group16: , , , , , , , ,  , 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: Иностранный язык (2 подгруппа), УЛК-1, 332, , пр, ИЯ, доцент, Ишмурадова А.М., УЛК-1 332, 
  group22: Аналитическая геометрия, УЛК-1, 444, , пр, Мат, доцент, Углов А.Н., УЛК-1 444, 
  group23: , , , , , , , ,  , 
  group24: , , , , , , , ,  , 
  group25: Математический анализ, УЛК-2, 432, , пр, Мат, доцент, Аглямзанова Г.Н., УЛК-2 432, 
  group26: , , , , , , , ,  , 
  group27: , , , , , , , ,  , 

row5:
  group1: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group2: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group3: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group4: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group5: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
